timestamp,x,y,z,qx,qy,qz,qw
1703165192.6269898,0.42482716107121793,0.8182971474522469,-0.8929541335732863,0.06881201592339234,0.03182932806685774,0.9971192666231347,0.002229006126770503
1703165192.6766372,0.42601263563775704,0.8170675087756476,-0.8967135566535769,0.07334826111100425,0.026666777915680732,0.9969449749906102,0.003103608957249506
1703165192.726376,0.42457213557604917,0.8144851843139784,-0.8995044041486998,0.07590753478475745,0.022209886641040684,0.9968659848766681,0.0017249041027158425
1703165192.7760732,0.42201904796372225,0.8138965570793155,-0.9005878442222043,0.07645095717198624,0.0195222254959285,0.9968820479560087,0.0005624252903073398
1703165192.8260891,0.4188592584329181,0.8155324725294917,-0.9004550484703364,0.0752996196458412,0.017415328872692634,0.9970047645934056,0.0028588423348581303
1703165192.8763945,0.4163438975004913,0.8201977904303075,-0.8997429251946293,0.07384109281814892,0.016789797040860494,0.9971089004555123,0.006279837509636235
1703165192.9267638,0.4141277405161099,0.8221593689963936,-0.9000216019938545,0.07298016443789285,0.01581224268067233,0.9971795409910412,0.007538674215134151
1703165192.975953,0.4125860641655455,0.8219404216031052,-0.9015421916825338,0.07331817851989963,0.014741290604796953,0.9971851945651575,0.005369058565336323
1703165193.025807,0.41229004132524083,0.8214416719334888,-0.9041577809840926,0.07453299378149336,0.01281439397210339,0.9971287344479149,0.0038614871999265747
1703165193.0762403,0.41337841938997966,0.8202517715993616,-0.9072509354217351,0.0757434073479383,0.009108195043684209,0.9970685728198374,0.005851335008621251
1703165193.127045,0.41384091592659605,0.8211919074460478,-0.9094797794163938,0.07568171479771649,0.0062039665053639425,0.9970708195865836,0.009141639558409872
1703165193.1762395,0.4118786488816237,0.8215975895636297,-0.91039122936191,0.07371364155667628,0.004896243708407949,0.997215571315633,0.01017006251885379
1703165193.2258751,0.40797959552465246,0.8217516386844315,-0.9102991077835755,0.07026902223974199,0.005434602056378548,0.9974771636247837,0.008487500280765498
1703165193.2759082,0.4044442867611354,0.8232185714020878,-0.9097405457706953,0.06657594266023156,0.007208238374853632,0.9977290599841088,0.007239338482170793
1703165193.3266392,0.40257100527084055,0.8254121541136149,-0.909458526793098,0.06351410778183648,0.008705635087952461,0.9979077681063386,0.008381908101295592
1703165193.3757136,0.40210328970461556,0.8280214820946074,-0.9098703856195052,0.06171091468263723,0.009727142675057834,0.9979903306774025,0.010604035968456587
1703165193.4271123,0.40252143088984604,0.8274233106210713,-0.9115542711275737,0.061081095154638006,0.009666020065726035,0.9980292578921464,0.010642756318296592
1703165193.4767053,0.40170770437784664,0.8258142786534064,-0.9132447732592466,0.06036215192334718,0.009557496851391746,0.9980965816077777,0.008263089736113343
1703165193.5274189,0.40161297010753283,0.8235994780701175,-0.9147914461064584,0.05940684420546322,0.008897246190412678,0.9981716076178528,0.006716220467361615
1703165193.5773332,0.40044257687500534,0.8250504708450792,-0.9146417927613806,0.05682311311984062,0.009164973032437001,0.9983064084162019,0.008452928476460078
1703165193.6267934,0.3988817153289094,0.82627588847524,-0.9135227733008888,0.05335039481233995,0.009871535136726629,0.9984665417033025,0.010993328270326256
1703165193.676613,0.3960439958086883,0.8286795024204896,-0.9113507798122968,0.049261566202635235,0.012763810455107431,0.9986433329496543,0.01103978229564999
1703165193.7265196,0.39265491510975475,0.8282866747777062,-0.9093468188602221,0.04544871562227388,0.01567320212409412,0.9988060317991442,0.008676164193342838
1703165193.776499,0.39123519566578896,0.8281879929111048,-0.9081640352081224,0.043072529535788245,0.018384736857864716,0.9988802426948102,0.006709650066339584
1703165193.8260958,0.3916097124719935,0.8300918459940361,-0.9075419911182211,0.04177586453672051,0.020360773468130675,0.9988902678980265,0.007645177865686763
1703165193.8761067,0.3917048539211798,0.8305575043778379,-0.9075123760493281,0.04046815482749603,0.02060765378017928,0.9989205269637692,0.009769025589060464
1703165193.926335,0.39150572228156655,0.8299256829644449,-0.9073863607841788,0.039072516205075666,0.02081155238455127,0.9989763819699112,0.009295484444350079
1703165193.9759102,0.3892965755188926,0.8268831364863055,-0.9066797885955603,0.0364138349412912,0.020474419294716027,0.9991002995614038,0.007309048893368342
1703165194.0270953,0.38616964587504427,0.8256208060810698,-0.904927894104329,0.03273370056915214,0.02088147202545542,0.9992250395214011,0.006464469549283227
1703165194.0761116,0.38306236632532015,0.8275996225378266,-0.9024663073727515,0.028991932480694163,0.022332128211664977,0.999295842929715,0.008280229704738797
1703165194.12603,0.3812127172490181,0.8304388608930247,-0.9003092094203553,0.026448179840651516,0.024422541835747567,0.999298749156964,0.010297726289083937
1703165194.176003,0.38068451085238514,0.832366372141578,-0.8995450676026404,0.02593912578243961,0.026688565077719092,0.9992565230378732,0.010063966116572502
1703165194.2266798,0.3795966115945938,0.8301040529118565,-0.9003229502602988,0.026530948182689307,0.0274413547955567,0.9992488507153603,0.006694414055273086
1703165194.2768538,0.3802881926572508,0.8291302931924379,-0.9020828663176652,0.02842619916345923,0.02750321193248444,0.9992073564008097,0.004492599361322223
1703165194.3271368,0.38046848479749856,0.828102311600781,-0.9037284053202879,0.0296727532168781,0.025955328615538967,0.9992082462088361,0.005359975862982798
1703165194.3765135,0.37986061155444556,0.8283948585623072,-0.9044713764594504,0.02985890434886343,0.024533199020721604,0.9992252193584755,0.007451776627201036
1703165194.4264247,0.37761032266328104,0.8279962901745073,-0.9043910826217836,0.028998802501966545,0.023813455664668186,0.999265122423195,0.007823291590886421
1703165194.476377,0.37429910160872937,0.8269381262027498,-0.903672697120834,0.027824065870190668,0.02443991636303374,0.999297854603645,0.005684156153009092
