timestamp,filename,frame_id
1703165083.0284564,frame_000000.png,0
1703165083.078269,frame_000001.png,1
1703165083.127627,frame_000002.png,2
1703165083.1773448,frame_000003.png,3
1703165083.2281203,frame_000004.png,4
1703165083.278096,frame_000005.png,5
1703165083.3279247,frame_000006.png,6
1703165083.377654,frame_000007.png,7
1703165083.4277637,frame_000008.png,8
1703165083.4773798,frame_000009.png,9
1703165083.5270965,frame_000010.png,10
1703165083.577259,frame_000011.png,11
1703165083.6279178,frame_000012.png,12
1703165083.6784928,frame_000013.png,13
1703165083.728327,frame_000014.png,14
1703165083.777618,frame_000015.png,15
1703165083.8276718,frame_000016.png,16
1703165083.877827,frame_000017.png,17
1703165083.927837,frame_000018.png,18
1703165083.9779036,frame_000019.png,19
1703165084.0284111,frame_000020.png,20
1703165084.0779088,frame_000021.png,21
1703165084.128431,frame_000022.png,22
1703165084.177619,frame_000023.png,23
1703165084.2279732,frame_000024.png,24
1703165084.2780266,frame_000025.png,25
1703165084.3287525,frame_000026.png,26
1703165084.3778636,frame_000027.png,27
1703165084.4275,frame_000028.png,28
1703165084.4775715,frame_000029.png,29
1703165084.5286243,frame_000030.png,30
1703165084.5787013,frame_000031.png,31
1703165084.6287112,frame_000032.png,32
1703165084.6777852,frame_000033.png,33
1703165084.7285595,frame_000034.png,34
1703165084.7775269,frame_000035.png,35
1703165084.8280983,frame_000036.png,36
1703165084.8781638,frame_000037.png,37
1703165084.9281917,frame_000038.png,38
1703165084.9781342,frame_000039.png,39
1703165085.0283616,frame_000040.png,40
1703165085.0780396,frame_000041.png,41
1703165085.1279695,frame_000042.png,42
1703165085.1779132,frame_000043.png,43
1703165085.227567,frame_000044.png,44
1703165085.2781668,frame_000045.png,45
1703165085.328278,frame_000046.png,46
1703165085.3778756,frame_000047.png,47
1703165085.4276466,frame_000048.png,48
1703165085.4781904,frame_000049.png,49
1703165085.5285351,frame_000050.png,50
1703165085.5775957,frame_000051.png,51
1703165085.6283908,frame_000052.png,52
1703165085.6774073,frame_000053.png,53
1703165085.7280946,frame_000054.png,54
1703165085.778937,frame_000055.png,55
1703165085.8281682,frame_000056.png,56
1703165085.8783343,frame_000057.png,57
1703165085.9278765,frame_000058.png,58
1703165085.9780698,frame_000059.png,59
1703165086.0280998,frame_000060.png,60
1703165086.077396,frame_000061.png,61
1703165086.1277742,frame_000062.png,62
1703165086.1776826,frame_000063.png,63
1703165086.2278438,frame_000064.png,64
1703165086.2782035,frame_000065.png,65
1703165086.3273644,frame_000066.png,66
1703165086.377423,frame_000067.png,67
1703165086.4280014,frame_000068.png,68
1703165086.4776528,frame_000069.png,69
1703165086.527925,frame_000070.png,70
1703165086.577351,frame_000071.png,71
1703165086.6274076,frame_000072.png,72
1703165086.6774106,frame_000073.png,73
1703165086.7276816,frame_000074.png,74
1703165086.7787108,frame_000075.png,75
1703165086.8279436,frame_000076.png,76
1703165086.8779535,frame_000077.png,77
1703165086.927864,frame_000078.png,78
1703165086.9773092,frame_000079.png,79
1703165087.0285184,frame_000080.png,80
1703165087.077811,frame_000081.png,81
1703165087.1280882,frame_000082.png,82
1703165087.178167,frame_000083.png,83
1703165087.227368,frame_000084.png,84
1703165087.2774467,frame_000085.png,85
1703165087.32785,frame_000086.png,86
1703165087.378386,frame_000087.png,87
1703165087.4275556,frame_000088.png,88
1703165087.4777043,frame_000089.png,89
1703165087.5276546,frame_000090.png,90
1703165087.5770843,frame_000091.png,91
1703165087.6275384,frame_000092.png,92
1703165087.677363,frame_000093.png,93
1703165087.7279854,frame_000094.png,94
1703165087.777366,frame_000095.png,95
1703165087.8280385,frame_000096.png,96
1703165087.877657,frame_000097.png,97
1703165087.9278383,frame_000098.png,98
1703165087.9773111,frame_000099.png,99
1703165088.027969,frame_000100.png,100
1703165088.0770743,frame_000101.png,101
1703165088.127398,frame_000102.png,102
1703165088.1777627,frame_000103.png,103
1703165088.2283916,frame_000104.png,104
1703165088.2788324,frame_000105.png,105
1703165088.3274045,frame_000106.png,106
1703165088.3774152,frame_000107.png,107
1703165088.4276378,frame_000108.png,108
1703165088.4776008,frame_000109.png,109
1703165088.5277915,frame_000110.png,110
1703165088.5779772,frame_000111.png,111
1703165088.6279604,frame_000112.png,112
1703165088.677695,frame_000113.png,113
1703165088.7276986,frame_000114.png,114
1703165088.7774646,frame_000115.png,115
1703165088.8271663,frame_000116.png,116
1703165088.8779218,frame_000117.png,117
1703165088.9280024,frame_000118.png,118
1703165088.978482,frame_000119.png,119
1703165089.0275085,frame_000120.png,120
1703165089.0783627,frame_000121.png,121
1703165089.127834,frame_000122.png,122
1703165089.1770627,frame_000123.png,123
1703165089.2272954,frame_000124.png,124
1703165089.2780929,frame_000125.png,125
1703165089.3282292,frame_000126.png,126
1703165089.376959,frame_000127.png,127
1703165089.427704,frame_000128.png,128
1703165089.4779098,frame_000129.png,129
1703165089.5275018,frame_000130.png,130
1703165089.577943,frame_000131.png,131
1703165089.6271706,frame_000132.png,132
1703165089.677019,frame_000133.png,133
1703165089.7272706,frame_000134.png,134
1703165089.7785168,frame_000135.png,135
1703165089.828815,frame_000136.png,136
1703165089.878,frame_000137.png,137
1703165089.9273105,frame_000138.png,138
1703165089.977681,frame_000139.png,139
1703165090.02828,frame_000140.png,140
1703165090.0782158,frame_000141.png,141
1703165090.1279886,frame_000142.png,142
1703165090.1787372,frame_000143.png,143
1703165090.2278526,frame_000144.png,144
1703165090.2776096,frame_000145.png,145
1703165090.3277524,frame_000146.png,146
1703165090.3774283,frame_000147.png,147
