timestamp,x,y,z,qx,qy,qz,qw,bag_id
1703165083.0230834,-0.8358838558197021,-0.9296714663505554,-0.3183009028434753,-0.0230264813334263,-0.0599249351935536,0.6957825740242864,-0.71537779737953,0
1703165083.0737605,-0.8526341915130615,-0.9516043663024902,-0.3245662450790405,-0.0262581583351579,-0.0597393895468041,0.6960420191331776,-0.7150295253053751,0
1703165083.120877,-0.8690701127052307,-0.9729880690574646,-0.3306294679641723,-0.0293250875107626,-0.0593105951034471,0.6963529593646128,-0.7146431616793846,0
1703165083.1689904,-0.885688304901123,-0.9943798184394836,-0.3367497622966766,-0.0322434031381346,-0.0586356814966314,0.6967373963035379,-0.7141983060758854,0
1703165083.221443,-0.902591347694397,-1.0159300565719604,-0.3429549038410187,-0.0349433766290205,-0.0577340781335406,0.6971715054352156,-0.7137209739534267,0
1703165083.2715375,-0.9197729825973512,-1.0376482009887695,-0.3492481112480163,-0.0372844369140568,-0.0566652878992399,0.6976344921856236,-0.7132356070922182,0
1703165083.3213253,-0.9365063309669496,-1.0586854219436646,-0.3552894592285156,-0.0391387344927117,-0.0554842053433822,0.6981003335212707,-0.7127731664121575,0
1703165083.3743591,-0.9536433219909668,-1.0800117254257202,-0.3614327907562256,-0.0404968299948486,-0.0541703775660931,0.698615845922408,-0.7122931115635145,0
1703165083.4204395,-0.969534695148468,-1.0996592044830322,-0.3669895231723785,-0.0412979704899881,-0.0528236734205146,0.6991140269208519,-0.7118593361909928,0
1703165083.4761975,-0.98638916015625,-1.1203352212905884,-0.3729062974452972,-0.0416776796491766,-0.051430381665875,0.6996019061651362,-0.7114598089497896,0
1703165083.5304646,-1.0046952962875366,-1.142556071281433,-0.379206895828247,-0.0416563642247617,-0.0500032438244596,0.7000841966757946,-0.7110882789720365,0
1703165083.5780027,-1.0166003704071045,-1.156723976135254,-0.3833443224430084,-0.0413983401071979,-0.0487651703925359,0.7005486216603991,-0.710731851180648,0
1703165083.6256568,-1.03301203250885,-1.1761149168014526,-0.38909512758255,-0.0409382843821943,-0.0474422787950662,0.7010432119189759,-0.7103602621746938,0
1703165083.673237,-1.047440767288208,-1.1928685903549194,-0.3941497504711151,-0.0402505162005881,-0.0461068779609412,0.7014885989510514,-0.7100477429666063,0
1703165083.7211587,-1.062130093574524,-1.209621787071228,-0.399178683757782,-0.0392164442099676,-0.0448085969834137,0.7018881665699921,-0.7097938163783336,0
1703165083.771699,-1.0764179229736328,-1.2255574464797974,-0.4038109481334686,-0.0378264461623479,-0.0435390084055481,0.7022358034014882,-0.7096043905859482,0
1703165083.8266077,-1.0926836729049685,-1.2431955337524414,-0.4088543951511383,-0.036052677037761,-0.0422160476708308,0.7025791865498711,-0.7094367458938015,0
1703165083.8745494,-1.1047855615615845,-1.2562875747680664,-0.4123240411281585,-0.0341465934177057,-0.0411486325172498,0.7028552103424817,-0.7093203461725541,0
1703165083.921727,-1.117358684539795,-1.2692420482635498,-0.4158754646778106,-0.0319739662743167,-0.0400973531702351,0.7031465230906768,-0.7091930871172691,0
1703165083.9707568,-1.1288508176803589,-1.280560851097107,-0.4190282821655273,-0.0297702098571577,-0.0391163634857947,0.7034135554183772,-0.7090789904985096,0
1703165084.0267105,-1.1426767110824585,-1.2942878007888794,-0.4224748313426971,-0.0273740675321895,-0.0381334559812321,0.7036612701579548,-0.7089832979988769,0
1703165084.0697086,-1.1529959440231323,-1.3035134077072144,-0.4250626564025879,-0.0251832552866464,-0.0372980626121952,0.7038461534413373,-0.7089254195360594,0
1703165084.1236875,-1.1657718420028689,-1.315291404724121,-0.4279114603996277,-0.0226762694483368,-0.0362962926377828,0.704049840872172,-0.7088597798666025,0
1703165084.1715138,-1.1771366596221924,-1.325140357017517,-0.4303547143936157,-0.0203515103209563,-0.0353691459173403,0.7042246590071569,-0.7088035476709943,0
1703165084.2262592,-1.188710331916809,-1.3350095748901367,-0.4327108263969421,-0.017745883201892,-0.0344492176753246,0.7043606433974247,-0.7087837604401704,0
1703165084.2718434,-1.1991504430770874,-1.3433040380477903,-0.4348526895046234,-0.0151573969594964,-0.0334732986758487,0.7045024752997426,-0.7087496411919411,0
1703165084.3218632,-1.209160089492798,-1.3508923053741455,-0.4369475841522217,-0.0123881583145181,-0.0324638229251753,0.7046228578843517,-0.7087307400427515,0
1703165084.3720477,-1.2196725606918335,-1.3588515520095823,-0.4392313063144684,-0.0101610069985237,-0.031663708255757,0.7047110729059969,-0.7087146585473937,0
1703165084.4186344,-1.2299786806106567,-1.3663872480392456,-0.4416991770267486,-0.0079833386827441,-0.0309240160990309,0.7047752722112318,-0.7087113567675968,0
1703165084.471947,-1.2406306266784668,-1.374054193496704,-0.444558322429657,-0.0064246107836446,-0.0304035983278061,0.7048282246469132,-0.7086970575119391,0
1703165084.529846,-1.2525527477264404,-1.381913423538208,-0.4482020437717438,-0.0051356532963201,-0.029888075535018,0.7048894186114089,-0.7086686359192871,0
1703165084.5737,-1.2604432106018066,-1.3872545957565308,-0.450763463973999,-0.0042761210286056,-0.029446026009991,0.7048908198762639,-0.7086914550037529,0
1703165084.624375,-1.2705402374267578,-1.393912672996521,-0.4542397856712341,-0.0034435597169537,-0.0290857808735079,0.704813829102686,-0.7087874332640665,0
1703165084.6716545,-1.2787426710128784,-1.3985487222671509,-0.4574253857135772,-0.0028367086879501,-0.0289149959518713,0.7047387363047235,-0.7088717723569928,0
1703165084.721747,-1.2887040376663208,-1.4049617052078247,-0.4612323641777038,-0.0023423580510713,-0.0289694739866408,0.7046693594732882,-0.7089403196004609,0
